name_1,name_2,name_3,degree_1,degree_2,degree_3,error
dist_incenter__orthocenter,inradius,semiperimeter,1,1,1,0.0005488463211804628
dist_orthocenter__steiner_focus_2,inradius,semiperimeter,1,1,1,0.0005534079973585904
dist_circumcenter__incenter,dist_steiner_focus_1__steiner_focus_2,semiperimeter,1,1,1,0.0005546672618947923
circumradius,dist_centroid__orthocenter,dist_centroid__steiner_focus_2,1,1,1,0.0005554236122407019
circumradius,dist_centroid__steiner_focus_1,semiperimeter,1,1,1,0.0005722503992728889
dist_circumcenter__orthocenter,dist_incenter__orthocenter,semiperimeter,1,1,1,0.0005725410301238298
dist_circumcenter__steiner_focus_1,inradius,semiperimeter,1,1,1,0.0005776022444479167
dist_centroid__orthocenter,dist_circumcenter__steiner_focus_2,dist_incenter__steiner_focus_1,1,1,1,0.0005780728533864021
dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_2,perimeter,1,1,1,0.0005796150071546435
dist_centroid__steiner_focus_1,perimeter,semiperimeter,1,1,1,0.0005844273837283254
dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_2,perimeter,1,1,1,0.0005995085812173784
circumradius,dist_centroid__circumcenter,dist_incenter__orthocenter,1,1,1,0.0006053104880265892
dist_centroid__incenter,dist_centroid__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.0006087073124945164
